ID,TotalAmount,MostRecent,NumberOfPurchases,PurchaseInterval
165,963,12/26/2005,10,371
166,965,12/5/2006,12,27
167,894,8/11/2006,10,143
168,612,9/20/2005,8,468
169,934,10/13/2006,8,80
170,916,11/7/2006,13,55
171,628,10/10/2006,7,83
172,631,7/1/2006,8,184
173,671,12/8/2006,7,24
174,937,10/24/2006,10,69
175,345,2/28/2006,3,307
176,1180,10/3/2006,10,90
177,457,1/9/2006,7,357
178,1006,2/18/2006,9,317
179,473,6/22/2006,8,193
180,659,7/12/2006,9,173
181,727,7/15/2006,7,170
182,878,8/10/2006,10,144
183,898,3/26/2006,9,281
184,851,5/27/2006,11,219
185,900,10/1/2006,8,92
186,431,10/26/2006,6,67
187,221,5/6/2005,4,605
188,1018,8/4/2006,9,150
189,1090,10/14/2006,12,79
190,485,9/19/2006,5,104
191,1305,7/7/2006,11,178
192,890,4/17/2006,10,259
193,885,6/22/2006,10,193
194,1639,9/23/2006,14,100
195,1608,7/20/2006,14,165
196,1023,10/12/2006,11,81
197,880,7/25/2006,12,160
198,438,7/14/2006,6,171
199,661,9/4/2006,8,119
200,556,10/10/2006,8,83
201,687,7/10/2006,8,175
202,380,11/30/2006,5,32
203,1325,8/20/2006,14,134
204,890,9/28/2006,13,95
205,903,4/7/2006,10,269
206,1862,6/28/2006,16,187
207,1072,11/30/2005,12,397
208,392,8/29/2005,7,490
209,1495,11/1/2006,16,61
210,1276,8/9/2006,14,145
211,867,9/13/2006,10,110
212,1030,6/26/2006,12,189
213,1537,10/12/2006,12,81
214,836,6/9/2006,6,206
215,1099,7/18/2006,11,167
216,974,11/8/2006,11,54
217,1478,9/13/2006,13,110
218,927,11/13/2006,11,49
219,927,11/28/2006,10,34
220,1076,11/29/2006,12,33
221,621,3/17/2006,8,290
222,464,7/4/2006,7,181
223,781,10/4/2006,10,89
224,1141,2/5/2006,10,330
225,631,12/3/2006,10,29
226,965,9/6/2006,9,117
227,1195,7/16/2006,11,169
228,534,12/6/2005,7,391
229,874,10/13/2006,11,80
230,1322,10/16/2006,12,77
231,777,6/7/2006,8,208
232,580,6/24/2006,4,191
233,422,10/1/2005,3,457
234,1274,11/16/2006,15,46
235,629,8/3/2006,8,151
236,1241,7/20/2006,15,165
237,1158,8/17/2006,11,137
238,399,8/22/2006,7,132
239,725,7/6/2006,9,179
240,1040,7/13/2006,10,172
241,486,9/14/2005,7,474
242,853,10/9/2006,7,84
243,1449,11/7/2006,15,55
244,1392,12/27/2005,9,370
245,727,9/29/2006,9,94
246,447,7/29/2005,4,521
247,673,7/4/2006,9,181
248,1431,7/3/2006,15,182
249,783,5/5/2006,9,241
250,1039,10/30/2006,14,63
251,1190,12/27/2005,12,370
252,632,9/14/2005,6,474
253,895,6/4/2006,9,211
254,1291,10/24/2006,12,69
255,1461,8/30/2006,15,124
256,1749,10/26/2006,19,67
257,1292,4/29/2006,10,247
258,1055,11/16/2006,12,46
259,448,5/20/2006,6,226
260,1121,8/7/2006,13,147
261,1170,7/13/2006,13,172
262,1240,12/20/2005,12,377
263,1079,12/20/2006,12,12
264,982,1/23/2006,10,343
265,1173,9/13/2005,10,475
266,766,9/11/2006,10,112
267,901,3/31/2006,10,276
268,869,8/22/2006,8,132
269,1339,10/10/2006,13,83
270,1851,8/10/2006,17,144
271,909,7/26/2006,8,159
272,998,4/2/2006,9,274
273,557,8/17/2006,6,137
274,1173,11/14/2006,11,48
275,408,12/20/2006,7,12
276,722,12/10/2005,7,387
277,716,8/15/2006,7,139
278,716,7/6/2006,9,179
279,510,3/25/2006,7,282
280,679,2/21/2006,7,314
281,620,9/28/2006,10,95
282,539,8/21/2006,8,133
283,772,7/16/2006,6,169
284,476,9/29/2006,6,94
285,1500,9/22/2006,15,101
286,977,6/9/2006,9,206
287,1017,9/16/2006,9,107
288,1141,10/11/2006,9,82
289,1370,10/5/2006,14,88
290,1064,5/27/2006,11,219
291,1444,10/27/2006,14,66
292,807,6/3/2006,7,212
293,766,7/10/2006,9,175
294,1131,6/12/2006,11,203
295,658,7/16/2006,7,169
296,747,12/14/2006,7,18
297,1152,1/12/2006,11,354
298,823,10/12/2006,10,81
299,998,6/18/2006,7,197
300,602,7/16/2006,8,169
301,1427,7/24/2006,11,161
302,1187,10/22/2006,13,71
303,570,9/26/2006,8,97
304,620,10/28/2006,6,65
305,873,9/29/2006,10,94
306,864,8/31/2006,9,123
307,799,11/4/2006,11,58
308,1015,7/1/2006,9,184
309,1326,7/17/2006,15,168
310,1185,8/31/2006,14,123
311,1052,9/19/2006,14,104
312,1285,10/21/2006,11,72
313,1255,8/17/2006,12,137
314,1147,12/9/2006,12,23
315,804,3/16/2006,11,291
316,439,7/25/2005,4,525
317,830,7/23/2006,8,162
318,1213,5/20/2006,12,226
319,475,3/21/2005,6,651
320,595,10/24/2006,7,69
321,1065,5/29/2006,9,217
322,1088,12/4/2006,13,28
323,815,2/26/2006,7,309
324,856,9/29/2006,15,94
325,283,7/1/2006,5,184
326,433,10/2/2006,4,91
327,619,9/7/2005,7,481
328,1027,8/31/2006,9,123
329,654,12/1/2005,8,396
330,880,2/27/2006,12,308
331,392,7/24/2006,5,161
332,1243,7/6/2006,15,179
333,662,8/2/2006,6,152
334,573,10/8/2005,6,450
335,940,8/11/2006,10,143
336,408,7/13/2006,4,172
337,1166,8/15/2006,10,139
338,967,7/8/2006,13,177
339,917,8/30/2005,9,489
340,689,3/6/2006,8,301
341,1128,9/3/2006,11,120
342,2047,11/17/2006,15,45
343,834,7/15/2006,10,170
344,144,7/5/2006,3,180
345,592,9/24/2006,7,99
346,1930,12/16/2006,18,16
347,1196,11/3/2006,9,59
348,421,7/19/2006,5,166
349,801,11/2/2006,10,60
350,704,8/7/2006,8,147
351,856,11/24/2005,9,403
352,1095,7/8/2006,10,177
353,771,5/22/2005,8,589
354,784,12/12/2006,10,20
355,541,11/16/2006,7,46
356,1171,9/17/2006,9,106
357,575,5/19/2005,8,592
358,960,6/5/2006,9,210
359,981,6/2/2006,11,213
360,1351,9/19/2005,13,469
361,1171,7/6/2006,15,179
362,1477,10/1/2006,13,92
363,986,6/21/2006,9,194
364,1104,10/19/2006,11,74
365,744,11/16/2006,9,46
366,372,7/16/2006,7,169
367,1488,7/4/2006,16,181
368,1079,5/12/2006,11,234
369,1430,5/10/2006,14,236
370,557,8/9/2005,5,510
371,1100,9/23/2006,11,100
372,1109,6/2/2006,11,213
373,218,9/30/2006,4,93
374,1194,4/8/2006,11,268
375,1594,6/3/2006,15,212
376,191,12/12/2005,2,385
377,697,6/29/2006,7,186
378,479,9/5/2006,9,118
379,667,7/11/2006,7,174
380,677,10/5/2006,9,88
381,831,9/12/2006,11,111
382,1224,12/22/2006,12,10
383,677,1/6/2006,8,360
384,1057,10/7/2006,11,86
385,1238,4/19/2006,12,257
386,1865,9/18/2006,17,105
387,1053,11/12/2005,9,415
388,479,8/14/2006,6,140
389,1171,7/17/2006,12,168
390,834,6/28/2006,10,187
391,862,7/27/2006,9,158
392,388,7/26/2005,4,524
393,784,1/7/2006,10,359
394,885,10/25/2006,9,68
395,1605,4/11/2006,19,265
396,626,8/3/2006,8,151
397,903,5/13/2006,12,233
398,973,12/9/2005,12,388
399,1130,11/21/2006,13,41
400,1050,9/21/2006,11,102
401,779,9/29/2006,8,94
402,1103,7/25/2006,11,160
403,1110,11/2/2006,10,60
404,648,8/14/2006,9,140
405,494,11/24/2006,6,38
406,1410,10/19/2005,13,439
407,911,10/18/2006,8,75
408,778,12/22/2006,6,10
409,1321,5/19/2006,14,227
410,931,12/15/2006,11,17
411,1168,11/18/2006,12,44
412,583,11/1/2006,6,61
413,1183,10/28/2006,11,65
414,735,9/19/2006,7,104
415,616,5/14/2006,9,232
416,1496,2/18/2006,16,317
417,1454,8/28/2006,18,126
418,331,8/2/2006,6,152
419,1022,6/25/2006,11,190
420,526,9/6/2006,7,117
421,694,4/4/2006,9,272
422,779,6/18/2006,9,197
423,489,6/29/2006,4,186
424,1859,8/20/2006,19,134
425,1062,11/6/2006,11,56
426,2273,10/22/2006,19,71
427,752,5/14/2006,11,232
428,1258,8/21/2006,11,133
429,858,8/25/2006,8,129
430,1076,11/12/2006,10,50
431,533,12/11/2005,7,386
432,962,6/16/2006,7,199
433,446,6/8/2006,5,207
434,910,7/27/2006,9,158
435,1064,5/19/2006,7,227
436,496,5/20/2005,4,591
437,1360,8/8/2006,16,146
438,1564,9/9/2006,15,114
439,609,4/24/2006,10,252
440,1128,10/18/2006,10,75
441,802,9/14/2006,8,109
442,861,10/8/2006,9,85
443,1111,6/18/2006,10,197
444,695,9/17/2006,7,106
445,1782,8/25/2006,18,129
446,1159,9/26/2006,12,97
447,1363,7/22/2006,14,163
448,544,9/11/2005,4,477
449,1203,9/28/2006,12,95
450,846,3/19/2006,9,288
451,980,6/5/2006,11,210
452,1067,7/23/2006,12,162
453,1284,10/7/2006,14,86
454,1203,8/23/2006,15,131
455,1372,3/11/2006,14,296
456,1290,9/24/2006,13,99
457,1366,6/15/2006,13,200
458,861,4/16/2006,12,260
459,1298,10/12/2006,14,81
460,1324,7/24/2006,15,161
461,987,10/29/2006,11,64
462,1217,12/8/2006,15,24
463,735,7/10/2006,6,175
464,1540,10/4/2006,12,89
465,1828,7/18/2006,15,167
466,1249,10/31/2006,12,62
467,958,11/26/2006,11,36
468,811,1/2/2006,9,364
469,917,11/5/2006,12,57
470,1394,6/16/2006,15,199
471,1135,6/20/2006,8,195
472,342,9/1/2006,4,122
473,1070,5/27/2006,11,219
474,1940,11/30/2006,19,32
475,1388,7/15/2006,13,170
476,1113,9/29/2006,10,94
477,1085,8/21/2006,9,133
478,1893,10/18/2006,18,75
479,832,8/17/2006,11,137
480,705,9/23/2005,9,465
481,1114,6/24/2006,11,191
482,869,8/17/2006,13,137
483,748,10/29/2006,11,64
484,1424,10/26/2006,13,67
485,1442,10/8/2006,13,85
486,758,8/26/2006,10,128
487,1191,11/22/2006,10,40
488,1639,8/25/2006,11,129
489,1425,10/30/2006,16,63
490,827,8/24/2006,11,130
491,1243,5/6/2006,12,240
492,555,10/26/2006,6,67
493,1107,8/16/2006,9,138
494,522,6/13/2006,4,202
495,868,10/9/2006,9,84
496,623,10/11/2005,8,447
497,1098,10/19/2006,12,74
498,1087,8/6/2006,10,148
499,1330,3/6/2006,12,301
500,450,10/9/2006,5,84
501,557,9/23/2006,6,100
502,957,8/5/2006,12,149
503,1109,10/20/2006,11,73
504,979,6/8/2006,9,207
505,1289,4/15/2006,14,261
506,1559,8/10/2006,14,144
507,616,12/4/2005,8,393
508,641,7/20/2006,6,165
509,836,12/5/2006,11,27
510,1166,1/14/2006,9,352
511,959,9/12/2006,10,111
512,539,8/28/2006,6,126
513,754,6/6/2006,8,209
514,787,10/12/2006,9,81
515,482,7/1/2006,6,184
516,834,6/5/2006,11,210
517,1070,10/20/2006,11,73
518,829,9/8/2006,8,115
519,1267,9/2/2006,9,121
520,764,6/23/2006,11,192
521,186,9/18/2006,5,105
522,653,9/7/2006,9,116
523,975,8/17/2006,12,137
524,1024,8/20/2006,10,134
525,628,8/11/2005,9,508
526,871,7/18/2006,10,167
527,635,12/8/2005,11,389
528,966,8/7/2006,10,147
529,1649,11/3/2006,16,59
530,917,7/30/2006,10,155
531,1586,8/27/2006,14,127
532,1318,11/30/2006,14,32
533,810,12/6/2006,8,26
534,759,2/10/2006,8,325
535,685,8/31/2006,9,123
536,1026,9/10/2006,12,113
537,1383,9/17/2006,12,106
538,387,6/25/2006,5,190
539,394,7/28/2005,5,522
540,1601,8/15/2006,13,139
541,1085,8/13/2006,9,141
542,890,2/26/2006,8,309
543,545,10/3/2005,6,455
544,649,11/11/2006,10,51
545,680,3/25/2006,6,282
546,891,12/27/2006,11,5
547,1291,4/15/2006,13,261
548,1069,7/25/2005,8,525
549,698,2/19/2006,9,316
550,1260,7/22/2006,12,163
551,672,9/5/2006,9,118
552,1733,8/27/2006,13,127
553,1427,11/2/2006,11,60
554,1157,12/14/2006,12,18
555,1669,4/22/2006,20,254
556,1443,8/13/2006,14,141
557,757,3/13/2006,9,294
558,1090,1/31/2006,10,335
559,1058,12/21/2006,9,11
560,912,6/2/2006,8,213
561,1175,12/11/2006,11,21
562,1304,8/9/2006,14,145
563,868,7/26/2006,9,159
564,263,3/30/2006,3,277
565,315,8/1/2006,5,153
566,372,8/18/2006,6,136
567,987,9/29/2006,14,94
568,355,10/29/2006,7,64
569,880,7/5/2006,7,180
570,698,8/18/2006,7,136
571,754,8/11/2006,10,143
572,795,12/8/2006,8,24
573,981,7/1/2006,12,184
574,1231,9/20/2006,14,103
575,1014,10/19/2006,11,74
576,1575,12/30/2006,17,2
577,1386,9/11/2006,14,112
578,744,12/14/2006,9,18
579,1257,11/3/2006,11,59
580,1203,11/18/2005,12,409
581,290,12/17/2005,5,380
582,1100,7/4/2006,12,181
583,830,3/13/2006,8,294
584,926,10/3/2006,8,90
585,1196,5/19/2006,10,227
586,606,10/4/2006,8,89
587,550,12/19/2006,6,13
588,1533,9/23/2006,12,100
589,700,5/9/2006,9,237
590,500,11/15/2005,7,412
591,931,7/30/2005,9,520
592,602,9/29/2006,6,94
593,1345,5/10/2006,10,236
594,905,11/21/2005,9,406
595,1443,6/27/2006,13,188
596,269,3/25/2006,4,282
597,975,8/30/2006,10,124
598,496,9/19/2006,7,104
599,1180,8/7/2006,11,147
600,819,10/5/2005,7,453
601,1163,6/16/2006,11,199
602,762,10/6/2006,9,87
603,781,9/22/2006,11,101
604,707,7/7/2006,10,178
605,956,9/2/2006,9,121
606,597,9/7/2006,8,116
607,983,3/26/2006,8,281
608,1001,7/23/2006,14,162
609,517,9/9/2006,6,114
610,586,6/24/2006,10,191
611,1081,5/18/2006,11,228
612,1009,10/29/2006,12,64
613,768,5/22/2006,8,224
614,866,7/17/2006,11,168
615,636,11/22/2006,6,40
616,792,7/11/2006,10,174
617,667,10/27/2005,9,431
618,1527,8/16/2006,16,138
619,1554,9/5/2006,15,118
620,670,7/15/2006,6,170
621,1133,7/20/2006,12,165
622,1099,12/3/2006,11,29
623,835,8/4/2006,9,150
624,879,10/6/2006,11,87
625,1086,7/6/2006,11,179
626,532,6/2/2005,4,578
627,715,7/29/2006,6,156
628,898,6/6/2006,9,209
629,899,8/27/2006,9,127
630,908,6/3/2006,10,212
631,1356,6/28/2006,17,187
632,733,11/12/2006,9,50
633,1314,11/3/2006,12,59
634,806,4/21/2006,8,255
635,1010,1/9/2006,10,357
636,1246,8/14/2006,14,140
637,1497,11/18/2006,17,44
638,1208,9/6/2006,9,117
639,1285,10/16/2006,14,77
640,854,3/19/2006,7,288
641,946,12/7/2006,8,25
642,1346,11/15/2006,16,47
643,1084,7/30/2006,12,155
644,761,6/4/2006,9,211
645,841,7/1/2006,12,184
646,869,12/13/2006,10,19
647,940,10/17/2006,7,76
648,1340,6/13/2006,10,202
649,368,9/5/2005,5,483
650,1093,7/21/2006,11,164
651,709,9/30/2006,10,93
652,784,12/26/2005,10,371
653,557,10/20/2006,6,73
654,1066,7/29/2006,14,156
655,1481,8/11/2006,15,143
656,973,2/20/2006,8,315
657,580,8/14/2005,5,505
658,1424,6/24/2006,12,191
659,1014,8/10/2006,13,144
660,486,10/22/2006,6,71
661,2121,8/18/2006,17,136
662,1020,7/1/2006,9,184
663,1546,8/31/2006,13,123
664,712,10/4/2006,12,89
665,1003,6/29/2006,11,186
666,797,8/27/2006,8,127
667,1221,9/4/2006,15,119
668,612,8/15/2006,8,139
669,896,4/4/2006,10,272
670,633,7/18/2006,6,167
671,750,2/26/2006,6,309
672,477,6/30/2006,5,185
673,1373,5/12/2006,12,234
674,1299,9/2/2006,10,121
675,1005,11/27/2006,12,35
676,884,4/17/2006,9,259
677,717,11/7/2006,9,55
678,1178,10/12/2006,10,81
679,719,8/10/2006,9,144
680,614,8/8/2006,7,146
681,871,10/15/2006,8,78
682,934,8/23/2005,8,496
683,1277,10/8/2006,15,85
684,1387,10/8/2005,14,450
685,904,8/18/2006,8,136
686,957,6/24/2006,13,191
687,1995,10/20/2006,18,73
688,470,9/25/2006,8,98
689,1150,10/29/2005,12,429
690,516,10/3/2006,7,90
691,925,11/25/2006,12,37
692,1124,6/23/2006,13,192
693,565,11/12/2006,6,50
694,1343,10/30/2006,15,63
695,758,11/26/2005,7,401
696,1067,10/6/2006,11,87
697,2002,7/10/2006,15,175
698,658,9/2/2006,8,121
699,1396,11/30/2006,14,32
700,971,11/22/2006,9,40
701,1287,6/13/2006,14,202
702,967,6/12/2006,12,203
703,918,5/15/2006,10,231
704,1197,9/17/2006,12,106
705,386,4/23/2006,4,253
706,1397,7/15/2006,13,170
707,1027,10/8/2006,9,85
708,773,9/16/2006,10,107
709,991,10/5/2006,10,88
710,853,11/26/2006,9,36
711,1484,6/18/2006,13,197
712,813,11/6/2005,12,421
713,896,7/23/2006,9,162
714,1507,9/6/2006,17,117
715,1101,11/18/2006,10,44
716,878,10/5/2006,8,88
717,1397,9/7/2006,16,116
718,1098,11/5/2006,10,57
719,737,6/5/2006,8,210
720,336,7/29/2006,6,156
721,919,9/18/2006,9,105
722,1586,8/18/2006,16,136
723,336,1/15/2006,3,351
724,920,11/1/2006,11,61
725,480,5/25/2006,5,221
726,771,3/17/2006,6,290
727,1214,10/21/2006,10,72
728,591,11/29/2006,8,33
729,369,9/7/2006,4,116
730,1055,2/22/2006,12,313
731,1052,7/15/2006,11,170
732,343,5/2/2006,6,244
733,540,10/3/2006,9,90
734,875,4/17/2006,7,259
735,1055,12/15/2005,8,382
736,1457,11/25/2006,14,37
737,864,5/19/2006,8,227
738,849,5/11/2006,8,235
739,1529,11/9/2006,13,53
740,693,6/13/2006,7,202
741,713,8/20/2006,7,134
742,853,7/12/2006,8,173
743,604,7/19/2006,8,166
744,889,9/11/2006,10,112
745,636,12/11/2005,6,386
746,1054,9/11/2006,12,112
747,1157,10/31/2006,12,62
748,1156,11/14/2006,13,48
749,688,9/4/2005,8,484
750,783,11/9/2006,8,53
751,1220,8/9/2006,12,145
752,1044,11/14/2006,11,48
753,1444,8/25/2006,14,129
754,1188,10/8/2006,14,85
755,1053,10/4/2006,13,89
756,740,3/12/2006,8,295
757,609,9/26/2006,8,97
758,595,11/22/2005,6,405
759,659,7/24/2006,10,161
760,347,11/25/2006,7,37
761,457,11/27/2006,5,35
762,1024,7/26/2006,10,159
763,686,6/15/2006,8,200
764,787,10/7/2006,10,86
765,1565,11/14/2006,14,48
766,741,4/23/2006,8,253
767,2066,9/26/2006,17,97
768,2422,7/12/2006,19,173
769,753,9/6/2006,8,117
770,1386,12/24/2006,20,8
771,980,11/1/2005,10,426
772,977,10/23/2005,9,435
773,1066,8/10/2005,12,509
774,1073,2/4/2006,14,331
775,555,8/16/2006,8,138
776,895,8/30/2006,9,124
777,1167,10/31/2006,14,62
778,817,9/22/2006,11,101
779,828,4/24/2006,7,252
780,846,6/18/2006,9,197
781,623,6/28/2005,6,552
782,865,8/19/2006,9,135
783,875,6/25/2006,9,190
784,1009,11/25/2006,10,37
785,852,7/30/2006,7,155
786,788,9/30/2006,11,93
787,904,9/20/2006,10,103
788,1023,10/31/2006,10,62
789,1216,12/14/2006,11,18
790,647,8/1/2006,9,153
791,805,8/14/2006,8,140
792,296,6/28/2006,3,187
793,504,9/24/2005,5,464
794,901,7/22/2006,12,163
795,637,5/14/2006,7,232
796,742,5/17/2006,11,229
797,693,7/25/2006,8,160
798,1344,8/1/2006,10,153
799,1085,11/27/2006,12,35
800,552,10/15/2006,8,78
801,1176,8/29/2005,12,490
802,319,9/26/2006,4,97
803,2193,8/14/2006,17,140
804,1253,10/21/2006,12,72
805,810,1/14/2006,8,352
806,1206,8/28/2005,8,491
807,922,11/11/2005,8,416
808,1021,11/3/2006,12,59
809,685,8/4/2006,9,150
810,589,11/17/2005,6,410
811,1303,7/1/2006,11,184
812,653,9/25/2006,10,98
813,776,11/21/2006,10,41
814,1124,6/9/2006,11,206
815,1718,12/7/2006,20,25
816,926,6/25/2006,11,190
817,966,11/19/2006,12,43
818,583,8/1/2005,6,518
819,1129,2/16/2006,11,319
820,1013,8/2/2006,8,152
821,858,7/29/2006,8,156
822,1124,11/6/2006,10,56
823,623,9/8/2006,8,115
824,898,9/24/2006,11,99
825,1029,7/23/2006,10,162
826,938,3/13/2006,10,294
827,664,11/9/2006,9,53
828,564,7/30/2006,6,155
829,825,11/24/2005,9,403
830,1318,11/22/2006,11,40
831,1411,11/14/2006,14,48
832,532,7/19/2006,5,166
833,1068,2/5/2006,14,330
834,678,11/13/2006,7,49
835,535,7/27/2006,5,158
836,1151,11/28/2006,14,34
837,1843,8/17/2006,18,137
838,850,11/11/2006,12,51
839,686,4/23/2006,8,253
840,1694,9/29/2006,15,94
841,808,10/14/2006,7,79
842,956,6/29/2006,9,186
843,1062,2/27/2006,9,308
844,630,7/17/2006,9,168
845,820,10/3/2006,8,90
846,381,1/28/2006,5,338
847,1621,5/26/2006,16,220
848,1259,6/12/2006,16,203
849,1182,7/24/2006,11,161
850,1152,11/14/2006,11,48
851,643,8/12/2006,8,142
852,458,7/2/2006,7,183
853,1149,11/26/2006,12,36
854,612,10/17/2006,8,76
855,1288,8/30/2006,11,124
856,518,1/20/2006,6,346
857,718,8/20/2006,6,134
858,208,7/1/2005,3,549
859,1026,9/21/2006,12,102
860,1439,7/19/2006,16,166
861,961,12/11/2006,10,21
862,435,5/11/2006,5,235
863,1154,8/30/2006,14,124
864,1126,2/15/2006,12,320
865,816,6/7/2006,12,208
866,1142,10/25/2006,13,68
867,732,7/2/2006,9,183
868,1093,1/9/2006,10,357
869,1214,8/24/2006,12,130
870,872,10/1/2006,11,92
871,894,1/18/2006,8,348
872,419,5/2/2006,7,244
873,638,5/27/2006,7,219
874,1006,7/3/2006,11,182
875,1203,10/27/2005,13,431
876,1173,6/8/2006,10,207
877,303,12/17/2006,5,15
878,1203,11/8/2005,11,419
879,806,8/28/2006,11,126
880,1040,8/9/2006,10,145
881,904,9/2/2006,8,121
882,216,4/12/2006,4,264
883,745,11/23/2006,10,39
884,1186,8/1/2006,10,153
885,1312,4/28/2006,11,248
886,1145,11/20/2006,9,42
887,571,9/23/2006,10,100
888,1037,7/13/2006,11,172
889,735,11/10/2006,10,52
890,1254,7/1/2006,14,184
891,1429,10/25/2006,14,68
892,1105,5/15/2006,11,231
893,1064,12/10/2006,14,22
894,1165,8/26/2006,12,128
895,1807,8/7/2006,17,147
896,560,5/31/2006,8,215
897,656,1/4/2006,8,362
898,844,4/27/2006,9,249
899,697,5/7/2006,10,239
900,696,6/4/2006,9,211
901,936,11/21/2006,14,41
902,1268,9/7/2006,18,116
903,1383,1/25/2006,15,341
